1,Office & Home Appliances,vifaa vya ofsini na majumbani,1
2,Workshop appliances,Vifaa vya kiufundi,1
3,Appliances maintanance servicing ,Huduma za kiufundi,1
4,Mobile phone & accessories,Simu na vifaa vyake,2
5,Computers & accessories,komputa na vifaa vyake,2
6,Personal care portable devices,Vifaa kwa matumizi binafsi,2
7,Office & Home devices,Vifaa vya nyumbani na ofsini,2
8,Workshop devices,Kazi za kiufundi,2
9,Events used devices,Vifaa kwa matukio,2
10,Maintanance & servicing,Huduma za Kiufundi,2
11,Tables,Meza,3
12,Couches & Sofa,Makochi na sofa,3
13,Cabinets,Makabati,3
14,Cleanlines,Usafi,3
15,Maintanance & servicing,Huduma za Kiufundi,3
16,Cooking essentials,Vyombo vya Kupikia,4
17,Tableware & servings,Vyombo vya mezani/kupakulia,4
18,Kitchen tools,Vifaa vya jikoni,4
19,Food Storage,Uhifadhi chakula,4
20,cooking-ware placing ,Kuwekea  vyombo,4
21,Kitchen & Cookware care,Usafi wa vyombo na Jikoni,4
22,Services,Huduma za mapishi,4
23,Fitness ,Vifaa vya Mazoezi,5
24,Fitness Consultant & Instructor,Ushauri na Uelekezaji Mazoezi,5
25,Medical equipment,Vifaa tiba,5
26,Medical consultant & cure,Tiba na ushauri,5
27,Cleanliness Mens ,Usafi Wanaume,6
28,Cleanliness & Beuty for Womens,Usafi na Urembo Wanawake,6
29,General Cleanliness,Usafi kwa Wote,6
30,Baby & Kids,Watoto,6
31,Services & Consultants,Huduma na Ushauri,6
32,Food ,Vyakula,7
33,Drinks,Vinywaji,7
34,Lodge service ,Vyumba vya kulala,8
35,Apartment/Rooms for rent,Nyumba/vyumba vya kupanga,8
36,Services,Huduma,8
37,Motocycle & accesories,Pikipiki na vifaa vyake,9
38,Cars & accesories,Magari na vifaa vyake,9
39,Services & Maintanace,Huduma za kiufundi,9
40,Home & Office,Nyumbani na Maofsini,10
41,Workshop tools,Sehemu za kazi,10
42,Industrial,Viwandani,10
43,Servicing & maintanance,Huduma ya Ufundi ,10
44,Controctions tools,Vifaa vya ujenzi,11
45,Contruction Materials & components,Nyenzo za ujenzi,11
46,Construction machinery,Mashine za Ujenzi ,11
47,Consultants & servicing,Huduma za kiufundi na ushauri,11
48,agricultural  tools,Vifaa vya kilimo,12
49,livestock keeping  tools,Vifaa vya Ufugaji,12
50,Agricultural machinery,Mashine za kilimo,12
51,Agricultural input essentials ,Nyenzo za kilimo,12
52,Agricultural Consultants,Maelekezo na Ushauri,12
53,Baby & Kids,Watoto,13
54,Womens,Wanawake,13
56,Mens ,Wanaume,13
57,Technical services,Huduma za kiufundi,13
58,Pupil & Students,Wanafunzi,14
59,Laboratory,Maabala,14
60,Ofsini,Office,14
61,Educational consultants ,Huduma na ushauri ,14
55,Pupil & students,Wanafunzi,13
62,Ceremonial & events equipments,Vifaa vya shughuli na matukio,15
63,events consultants,Ushauri na huduma,15
64,Soft drinks,Vinywaji laini,16
65,bites & snacks,Vitafunwa,16
