337,KISHAPU,25
338,BARIADI,26
339,ITILIMA,26
340,MASWA,26
341,MEATU,26
342,BUSEGA,26
343,SINGIDA MJINI,27
344,SINGIDA VIJIJINI,27
345,IRAMBA,27
216,ARUSHA MJINI,3
346,MANYONI,27
217,ARUSHA VIJIJINI,3
218,Arumeru,3
219,Monduli,3
220,Longido,3
221,Karatu,3
347,Mkalama,27
222,Ngorongoro,3
223,ILALA CBD,4
224,ILALA,4
225,KINONDONI,4
348,Ikungi,27
226,TEMEKE,4
349,TABORA ,28
227,UBUNGO,4
228,KIGAMBONI,4
229,DODOMA MJINI,5
230,DODOMA VIJIJINI,5
350,UYUI,28
231,BAHI,5
351,SIKONGE,28
232,CHAMWINO,5
233,KONGWA,5
352,NZEGA,28
353,URAMBO,28
234,MPWAPWA,5
235,KONDOA ,5
354,IGUNGA,28
236,CHEMBA,5
237,GEITA,6
355,Kaliua,28
356,TANGA MJINI,29
238,NYANG'HWALE,6
239,CHATO,6
357,TANGA VIJIJINI,29
358,PANGANI,29
240,MBOGWE,6
359,MUHEZA,29
241,BUKOMBE,6
242,IRINGA MJINI,7
360,MKINGA,29
243,IRINGA VIJIJINI,7
361,KOROGWE,29
244,KILOLO,7
245,MUFINDI,7
246,BUKOBA MJINI,8
362,LUSHOTO,29
363,Handeni,29
247,BUKOBA VIJIJINI,8
248,MISSENYI,8
249,KARAGWE,8
250,MULEBA,8
364,Kilindi,29
251,BIHARAMULO,8
365,Micheweni,20
252,NGARA,8
253,Kyerwa,8
366,Wete,20
254,MPANDA -MJINI,9
255,TANGANYIKA,9
256,Mlele,9
257,KIGOMA MJINI ,10
367,Magharibi,32
258,KIGOMA VIJIJINI  ,10
259,Kasulu ,10
260,KIBONDO ,10
261,Buhigwe ,10
262,Uvinza ,10
263,Kakonko ,10
264,MOSHI MJINI,11
265,MOSHI VIJIJINI,11
266,HAI,11
267,SIHA,11
268,MWANGA,11
269,SAME,11
270,ROMBO,11
271,LINDI  MJINI,12
272,LINDI VIJIJINI,12
273,NACHINGWEA ,12
274,KILWA,12
275,Liwale,12
276,Ruangwa,12
277,MUSOMA ,14
278,Butiama,14
279,RORYA,14
280,TARIME,14
281,BUNDA,14
282,SERENGETI,14
283,MBEYA MJINI,15
284,MBEYA VIJIJINI,15
285,Rungwe ,15
286,Mbarali ,15
287,Kyela,15
288,Chunya ,15
289,MOROGORO MJINI,16
290,MOROGORO VIJIJINI,16
291,Mvomero ,16
292,KILOSA,16
293,KILOMBERO,16
294,ULANGA,16
295,GAIRO,16
296,Malinyi,16
297,MTWARA MJINI,17
298,MTWARA VIJIJINI,17
299,TANDAHIMBA,17
300,NEWALA,17
301,MASASI,17
302,NANYUMBU,17
310,NJOMBE MJINI,19
311,NJOMBE VIJIJINI,19
312,WANGING'O,19
313,MBE,19
314,Ludewa,19
315,MAKETE,19
316,KIBAHA MJINI,22
317,KIBAHA VIJIJINI,22
318,BAGAMOYO,22
319,KISARAWE,22
320,MKURANGA,22
321,RUFIJI,22
322,MAFIA,22
323,KIBITI,22
324,SUMBAWANGA MJINI,23
325,SUMBAWANGA VIJIJINI,23
326,NKASI,23
327,Kalambo,23
328,SONGEA MJINI,24
329,SONGEA VIJIJINI,24
330,NAMTUMBO,24
331,MBINGA ,24
332,NYASA,24
333,TUNDURU,24
334,SHINYANGA MJINI,25
335,SHINYANGA VIJIJINI,25
336,KAHAMA,25
368,Mjini,32
369,Chake Chake,21
370,Mkoani,21
371,Kaskazini A,31
372,Kaskazini B,31
373,Kati,30
374,Kusini,30
375,SONGWE,33
376,Mbozi ,33
377,Ileje ,33
378,Momba,33
379,NYAMAGANA,18
380,ILEMELA,18
381,SENGEREMA,18
382,MAGU,18
383,MISUNGWI,18
384,UKEREWE,18
385,Kwimba ,18
389,Hanang' ,13
390,MBULU,13
391,KITETO,13
386,Buchosa,18
392,SIMANJIRO,13
387,BABATI MJINI,13
388,BABATI VIJIJINI,13
